address,allocation
0x969d0b868c4d1e3300ea3826525f175567e958c9,600
0x6c28fe83eab20a67466aec06b08f65caac771f5d,600
0x2990d8a2ac8836801859fd445d03889961dd89ed,600
0xaa56ecc89d09e3a147aaa0e727d9cb2965b0046b,600
0x1cc3303cb1f4f00d70b155449bc13a166fdcf85f,600
0x47474c6ea0e28627d94adc9d054d166a14e6825a,600
0x0238c9307ff868924029dcdf03fac3e4a39a6546,600
0x5bcdf8f24af40eb8653e366d5c9fe849100549d3,600
0xab27b6dda68144fb4aeb2c79f83516dd21833e85,600
0x07907bec1542193cd2b6fa5e18e05dd107e474e8,600
0xffbe799d978b486358e16a0d4f5a45fa49a18bc1,600
0x82e51dc11ed3d2cb50c180ce1b04bd936cf8d9e2,600
0xaa21b0a71b29fc8e9ad1394aeca72f5ad474dd3f,600
0x7ad6bca1589817f6f0702e4e7469644c59381c78,600
0x8fd73ca765e3fa199440ac6177b1f51bed69d1aa,600
0x5fc74f34904449fce929b0f15c46cb29f4e2c51e,600
0xbf3e0792e90b1caf5a5ea56954af5822e4716c29,600
0xa41b169fe9d3bba79354f26a51b66ed6ba8f26e9,600
0xc28210ee0b884858e0df42d811eae9c5672b1661,600
0x7d85f3e1c01387049890b36c06d86dbbc32a50ea,600
0xf061738a9ec2e601dd1cc62c0aa62427ff85741e,600
0x3621a5030bce26ca7319486f60c2ccce3109726c,600
0x8e76dadfb21eee01be3b34f02bee5dee7f439066,768.6771428
0x80122c42278ed628bbb2ff5810e41988d15209ff,571
0x8a47dab0ca939dc4b4667db5003b5cef53785911,744.2
0x2594c9ebe0fae8d493fa2913895bc8298b79d727,740.1459023
0x6ef0da23b979739d7e11817ab66a1d794e8f9e2b,562.0668875
0xc0dbaeabd8d13d23a6054ccc23b22d2c33748375,550
0x4136e77c7d34fda124e1795bf516a917a707b7e4,546.4856689
0x19430b6bb63c5f9a347691c07ce023aacbfbeacf,714.4771429
0xc01e48ecb6045656b46fec48942e3f2c7ea343ed,533.4323779
0x7a08d1f42e08f84fc222487856deda1e3e99b71f,696.2971338
0xb46751d9d0ba6c04952530a4cf79398b51ce6b87,520.0894308
0x53bfb7086518e312b489a1977face90baaa32385,519.4323779
0x68dc11ba585021a04e3e4e83d9456904902ac2a0,515.68
0x500b90bdf306095a9c45dfc602780c416a7ab56f,686.1295117
0xfddcf3024fc4bcb1eff20163d9e2185c420a03f2,505.8
0x2db0e0f31ef676b39650d4bb177c85602b28b56c,505.36
0x4bcdc892b75df45d209ccc4302421c511b7c4ce8,504.61
0xd26b64c6b34505e0382cab0d6075c74b3aad2121,491.75
0xda4fb47d33afc51b026bed3aa100ac433f03d682,484.8
0xd00f1f125b0e9eb5e1728d979155bac5fbd9a949,483.1344375
0xfb9216c0e7724f2385723bf95d754da601ab91f4,475
0x340c1a208357b735f4d4f72b1845d4555e211064,539.1885352
0x29029df253b42135795e65fdec21c98c7c54c3c2,471.8
0xbacac99acc85f195466081f44f533690a46d6246,471
0xe852d1fb364f7b2766109c51e21881b1723d09f9,464.0266455
0xc581c3bf7e58b01afa29c31d73a9c9324b015f5c,639.6971338
0x2c2f289339a296e2383ef9482763089eda66e634,460.5718047
0x8c321223b368b7ece6a949808d3ce74ad9b6c2ae,454.2080023
0x2c0784e600a806967d3bb2fcb387a8c580c61e89,450.8623779
0xe05c802c12c898921c661a416478e12e1eb57ba9,485.5459023
0x18c18fa69ce116152b04079dabd30a7bf800d230,628.2463634
0xd0ac401c4e028ff51a6de443f7af5e7f33650996,438.7295117
0xd23dc50adde686988d71a17d955df93b69b389ba,774.8004445
0xa271a1a9b7f057a6ea0d7309d41134fdbe5a8c11,610.2
0x82d23c74bc2d9213aa3a2700fe6fe05a6563e65c,432.3237793
0x093fc08c21f02a44ee46d43a4fb9dc5eb282f591,430
0xff12800466ef77816a17738bd19dfc2687ebd444,422.0259023
0x8a03e8a41f84d94f79b40d291c925fbc3fe88f40,420.7561572
0x9c7ef515b81f9879b12a59db83d99a53146f241e,420
0x8c070095b9173381e73afd14114ab247540b65c8,806
0x2052675b1e70d8eee4beebbb5ba55caf58607787,413.4948408
0x1bc75049f04d70378b2bc82ca91280b89b893102,405.7561572
